categoryName,categoryDescription,,,,
Breakfast,"Praesent viverra, urna eget adipiscing vehicula",,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
Einstein Stammhaus,empty,http://www.cafeeinstein.com/,"Kurfürstenstraße 58, 10785 Berlin
",52.501888,13.354763
Mogg & Melzer,empty,http://www.moggandmelzer.com/,"Auguststraße 11, 10117 Berlin
",52.526543,13.39431
KaffeeMitte,empty,http://kaffeemitte.de/,"Weinmeisterstraße 9, 10178 Berlin
",52.525084,13.405947
Salumeria Lamuri,empty,http://lasalumeria.wordpress.com/,"Köpenicker Straße 183, 10997 Berlin
",52.503191,13.437838
The Dairy,empty,http://www.thedairy.de/,"Raumerstr 12, 10437 Berlin",52.542372,13.419532
Flamingo Fresh Food Bar,empty,http://www.flamingo-freshfood.de/,"Neustadtische Kirchstrasse 8, 13189 Berlin",52.519474,13.385325
Fuchsbau,empty,,"Planufer 95, 10967 Berlin",52.495803,13.418917
Mathilda,empty,,"Graefestraße 12, 10967 Berlin",52.49352,13.418158
