categoryName,categoryDescription,,,,
Breakfast,"Praesent viverra, urna eget adipiscing vehicula",,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
Einstein Stammhaus,empty,http://www.cafeeinstein.com/,"Kurfürstenstraße 58, 10785 Berlin
",52.501888,13.354763
Mogg & Melzer,empty,http://www.moggandmelzer.com/,"Auguststraße 11, 10117 Berlin
",52.526543,13.39431
KaffeeMitte,empty,http://kaffeemitte.de/,"Weinmeisterstraße 9, 10178 Berlin
",52.525084,13.405947
Salumeria Lamuri,empty,http://lasalumeria.wordpress.com/,"Köpenicker Straße 183, 10997 Berlin
",52.503191,13.437838
The Dairy,empty,http://www.thedairy.de/,"Raumerstr 12, 10437 Berlin",52.542372,13.419532
Flamingo Fresh Food Bar,empty,http://www.flamingo-freshfood.de/,"Neustadtische Kirchstrasse 8, 13189 Berlin",52.519474,13.385325
Fuchsbau,empty,-,"Planufer 95, 10967 Berlin",52.495803,13.418917
Mathilda,empty,-,"Graefestraße 12, 10967 Berlin",52.49352,13.418158
Datscha,empty,http://cafe-datscha.de/en/,"Gabriel Max Straße 1, 10245 Berlin",52.509292,13.457798
Cafe Fleury,empty,-,"Weinbergsweg 20, 10119 Berlin",52.531443,13.402626
Oliv,empty,http://oliv-cafe.de/,"Münzstraße 8, 10178 Berlin",52.524311,13.408519
Proviant,empty,http://proviant-berlin.de/,"Wühlischstraße 39A, 10245 Berlin",52.509027,13.459902
Das Edelweiss,empty,http://www.edelweiss36.com/,"Görlitzerstraße 1-3, Haus 2, 10997 Berlin",52.501585,13.43518
The California Breakfast Slam,empty,https://www.facebook.com/cabslam,"Pflügerstrasse 19, 12047 Berlin Neukölln",52.490794,13.431229
Luigi Zuckermann,empty,http://www.luigizuckermann.com/,"Rosenthaler Straße 67, 10119 Berlin Mitte",52.528478,13.402275
