categoryName,categoryDescription,,,,
Coffee,"Nunc elementum lectus lacus, quis blandit",,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
Bonanza Coffee Heroes,empty,http://www.bonanzacoffee.de/,"Oderberger Straße 35, 10435 Berlin",52.540006,13.405456
Five Elephants,empty,http://www.fiveelephant.com/,"Reichenberger Straße 101, 10999 Berlin",52.493376,13.438299
Katie's Blue Cat,empty,http://www.katiesbluecat.de/,"Friedelstraße 31, 12047 Berlin",52.493032,13.428262
Double Eye,empty,http://www.doubleeye.de/,"Akazienstraße 22, 10823 Berlin",52.487906,13.354154
Cafe CK,empty,http://cafeckberlin.com/,"Marienburgerstraße 49, 10405 Berlin",52.535477,13.422839
Godshot,empty,http://godshot.de/,"Immanuelkirchstraße 32, 10405 Berlin",52.533014,13.422999
Slörm,empty,http://sloerm.net/,"Danzigerstraße 53, 10435 Berlin",52.5399241,13.4207842
the Barn,empty,http://barn.bigcartel.com/coffee-shop,"Auguststraße 58, 10119 Berlin",52.5274054,13.398246
Luzia,empty,http://www.luzia.tc/,"Oranierstraße 34, 10999 Berlin",52.5016512,13.4181339
Brezel Company ,empty,http://www.brezel-company-berlin.de/,"Lenaustraße 10, 12047 Berlin",52.4901291,13.4269727
Companion Coffee,empty,http://companioncoffee.com/,"Oranienstraße 24, 10999 Berlin",52.5010436,13.419788
Bullys Bakery,empty,http://www.bullysbakery.com/,"Friedelstraße 7, 12047 Berlin",52.4882626,13.4281182
Zeit fur Brot,empty,http://www.zeitfuerbrot.com/,Alte Schönhauser Straße 4,52.5279024,13.4085985
Oslo Kaffebar,empty,http://www.oslokaffebar.com/,"Eichendorffstraße 13, 10115 Berlin",52.531152,13.386982
Kaffeebar,empty,http://kaffeebar-berlin.com/,"Graefestraße 8, 10967 Berlin",52.494362,13.418801
Antipodes,empty,https://www.facebook.com/pages/Antipodes/124448277614199,"Fehrbelliner Straße 5, 10119 Berlin",52.530928,13.409948
Double Eye,empty,http://www.doubleeye.de/,"Akazienstraße 22, 10823 Berlin",52.48798,13.354292
Café Bondi,empty,http://cafebondi.de/menu.html,"Eichendorffstraße 6, 10115 Berlin",52.530263,13.3875
Aunt Benny,empty,http://auntbenny.com/,"Oderstraße 7, 10247 Berlin",52.510154,13.471121
Schuchmanns,empty,https://www.facebook.com/schuchmanns.berlin,"Paul-Lincke-Ufer 22, 10999 Berlin Kreuzberg",52.49377,13.429124
Chapter One,empty,http://www.chapter-one-coffee.com/,"Mittenwalder Straße  30, 10961 Berlin",52.489758,13.395971
Giro Coffee Bar,empty,http://www.girocoffeebar.de/,"Knesebeckstraße 5, 10623 Berlin",52.510113,13.323028
Silo,empty,http://www.silo-coffee.com/,"Gabriel-Max-Str. 4, 10245, Berlin",52.510126,13.458198
