categoryName,categoryDescription,,,,
Culture,Ut tincidunt varius hendrerit,,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
East Side Gallery,empty,http://www.eastsidegallery.com,"Mühlenstraße 1, 10243 Berlin",52.502788,13.446679
ŻAK | BRANICKA,empty,http://www.zak-branicka.com,"Lindenstrasse 35, 10969 Berlin",52.506272,13.39769
Panke,empty,http://www.pankeculture.com,"Gerichtstrasse 23, 13347 Berlin",52.544216,13.372083
Urban Spree,empty,http://www.urbanspree.com/,"Revaler Straße 9, 10245 Berlin",52.508213,13.45305
carlier | gebauer,empty,http://www.carliergebauer.com,"Markgrafenstrasse 67, 10969 Berlin",52.505958,13.394538
Kicken,empty,http://www.kicken-gallery.com,"Linienstrasse 155, 10115 Berlin",52.527671,13.393624
Schwules Museum,empty,http://www.schwulesmuseum.de/en/,"Lützowstraße 73, 10785 Berlin",52.504403,13.358563
Platoon Kunsthalle,empty,http://www.kunsthalle.com/berlin,"Schönhauser Allee 9, 10119 Berlin",52.530351,13.410926
Helmut Newton Stiftung,empty,http://www.helmutnewton.com,"Jebenstrasse 2, 10623 Berlin",52.507908,13.332188
MADE,empty,http://made-blog.com/,"Alexanderstrasse 7, 10178 Berlin",52.522598,13.415773
Jiří Švestka Gallery,empty,http://www.jirisvestka.com/,"Potsdamer Straße 81c, 10785 Berlin",52.502187,13.364917
BUCHSTABENMUSEUM,empty,http://www.buchstabenmuseum.de/,"Holzmarktstraße 66, 10179 Berlin Mitte",52.515313,13.419138
"Ufer Hallen
",empty,http://www.uferhallen.de/,"Uferstraße 8-11, 13357 Berlin",52.551607,13.374441
Singuhr-Hörgalerie,empty,http://www.singuhr.de,"Belforter Straße, 10405 Berlin",52.533485,13.415725
Camera Work Photo Gallery,empty,http://www.camerawork.de,"Kantstraße 149, 10623 Berlin",52.505621,13.324717
Ausland,empty,http://www.ausland-berlin.de/,"Lychener Straße 60, 10437 Berlin",52.545028,13.419058
