categoryName,categoryDescription,,,,
Lunch,Etiam ornare nibh eget leo pharetra,,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
Café Pförtner,empty,http://pfoertner.co/,"Uferstrasse 8, 13357 Berlin",52.551607,13.374441
Chipps,empty,http://www.chipps.eu/,"Jägerstraße 35, 10117 Berlin
",52.514496,13.397486
The Bird,empty,http://www.thebirdinberlin.com/,"Am Falkplatz 5, 10435 Berlin",52.54677,13.405575
Hashi Izakaya,empty,http://www.hashi-kitchen.de/,"Rosenthaler Straße 63, 10119 Berlin
",52.527808,13.402823
Smart Deli,empty,http://www.smartdeli.org/,"Chausseestraße 5, 10115 Berlin Mitte",52.527775,13.386626
"Ron Telesky Canadian Pizza

",empty,http://www.ron-telesky.de/,"Dieffenbachstraße 62, 10967 Berlin Kreuzberg",52.492923,13.415288
Kantine,empty,-,"Joachimstrasse 11, 10119 Berlin Mitte",52.528434,13.400244
Heno Heno,empty,http://henoheno.de/,"Kantstraße 65, 10627 Berlin Charlottenburg",52.506821,13.303497
Zula Hummus Café,empty,http://www.zulaberlin.com/,"Husemannstraße 10, 10435 Berlin Prenzlauer Berg",52.537607,13.417486
Blue Nile,empty,http://www.bluenileberlin.de/,"Tempelhofer Ufer 6, 10963 Berlin Kreuzberg",52.49771,13.388489
Mädchenitaliener,empty,https://www.facebook.com/pages/M%C3%A4dchenitaliener/140338359314608,"Alte Schönhauser Straße 12, 10119 Berlin Mitte",52.526871,13.407925
Cô Cô – Bánh Mì Deli,empty,http://www.co-co.net/,"Rosenthalerstr. 2, 10119 Berlin Mitte",52.53002,13.406615
YamYam,empty,http://www.yamyam-berlin.de,"Alte Schönhauser Straße 6, 10119 Berlin",52.527726,13.408549
Mo’s kleiner Imbiss,empty,-,"Graefestraße 9, 10967 Berlin Kreuzberg",52.49422,13.418695
Pappa e Ciccia,empty,http://www.pappaeciccia.de/,"Schwedter Strasse 18, 10119 Berlin",52.534186,13.408536
DUDU,empty,http://www.dudu-berlin.de/,"Torstr. 134, 10119 Berlin",52.529552,13.39962
Zsa Zsa & Loui,empty,-,"Richardstr.103, 12043 Berlin Neukölln",52.47751,13.44031
Kantine9,empty,http://www.kantine-neun.de/,Eisenbahnstraße 42/43 10997 Berlin Kreuzberg,52.501976,13.432163
LA BONNE FRANQUETTE,empty,http://labonnefranquette.de/,"Chausseestrasse 110, 10115 Berlin Mitte",52.531132,13.382291
Sabzi,empty,-,"Luisenstr 15, 10117 Berlin Mitte",52.523177,13.379517
Hamburger Heaven,empty,www.hamburgerheaven.org,"Graefestraße 93, 10967 Berlin",52.495349,13.419567
Auf die hand,empty,www.aufdiehand.com,"Luisenstrasse 45, 10117 Berlin Mitte
",52.523193,13.379533
Lemongrass,empty,http://www.lemongrass-berlin.de/,"Simon-Dach-Str. 2, 10245 Berlin Friedrichshain",52.512459,13.457455
bASTaRd,empty,http://www.bastard-berlin.de/,"Reichenberger Straße 122, 10999 Berlin",52.495112,13.431821
Salumeria Pino,empty,http://www.salumeria-pino.de/,"Windscheidstraße 20, 10627 Berlin",52.50499,13.299906
