categoryName,categoryDescription,,,,
Nightlife,"Etiam odio sapien, ornare sit amet hendrerit",,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
Melody Nelson Bar,empty,-,"Novalis Strasse 2, 10115 Berlin",52.528029,13.388883
Lugosi Bar,empty,http://lugosi-berlin.de/,"Reichenberger Str 152, 10999 Berlin",52.497354,13.424184
Loophole,empty,http://www.loophole-berlin.com/,"Boddinstrasse 60, 12053 Berlin",52.480797,13.432936
NEU! Bar,empty,http://www.myspace.com/neubar,"Greifswalderstr. 218, 10405 Berlin",52.531001,13.426759
Wendel,empty,http://www.nstp.de,"Schlesische Straße 42, 10997 Berlin",52.500346,13.443417
Berghain,empty,http://www.berghain.de,"Am Wriezener Bahnhof, 10243 Berlin",52.509475,13.44118
Kirk,empty,http://www.kirkbar-berlin.de,"Skalitzer Straße 75, 10997 Berlin",52.500687,13.440251
White Trash Fast Food,empty,http://www.whitetrashfastfood.com/,"Schönhauser Allee 6-7, 10119 Berlin",52.529592,13.41012
Beckett's Kopf,empty,http://www.becketts-kopf.de,"Pappelallee 64, 10437 Berlin",52.545568,13.417222
Cookies,empty,http://www.cookies.ch,"Friedrichstrasse 158-164, 10117 Berlin",52.516598,13.388892
BAR REINGOLD,empty,http://cms.reingold.de/,"Novolisstrasse 11, 10115 Berlin Mitte
",52.531944,13.383785
DAS HOTEL,empty,http://www.dashotel.org/,"Mariannenstrasse 26, 10999 Berlin",52.496682,13.420302
://about blank,empty,http://aboutparty.net/,"Markgrafendamm 24c, 10245 Berlin",52.502614,13.465135
Club Der Visionaere,empty,http://clubdervisionaere.com/,"Flutgraben 2, 12435 Berlin Kreuzberg",52.493505,13.457115
Watergate,empty,http://www.water-gate.de/,"Falckensteinstr. 49, 10997 Berlin
",52.500696,13.444525
Picknick,empty,http://www.picknickberlin.de/,"Dorotheenstraße 90, 10117 Berlin",52.518368,13.382798
Kater Holzig,empty,http://www.katerholzig.de/,"Michaelkirchstr. 22, 10179 Berlin",52.511593,13.422467
Bar 3,empty,-,"Weydingerstraße 20, 10178 Berlin",52.527009,13.414282
Weekend,empty,http://www.week-end-berlin.de/,"Alexanderplatz 5, 10178 Berlin",52.523317,13.414927
Barbie Deinhoff,empty,www.Barbiedeinhoff.de,Schlesische Str. 16 10977 Berlin,52.499077,13.445732
