categoryName,categoryDescription,,,,
Shops,Cras blandit ac metus quis venenatis,,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
Modulor,empty,http://www.modulor.de,"Prinzenstr. 85, 10969 Berlin",52.502815,13.410016
R.S.V.P.,empty,http://rsvp-berlin.de/,"Mulackstraße 14, 10119 Berlin",52.527549,13.40495
Supalife,empty,http://www.supalife.de,"Raumerstrasse 40, 10437 Berlin",52.543804,13.416122
Pro QM,empty,http://www.pro-qm.de,"Almstadtstrasse 48-50, 10119 Berlin",52.527114,13.409993
In:Surgo!,empty,http://www.bongout.org,"Torstraße 110, 10119 Berlin",52.529703,13.402968
Gestalten Space,empty,http://www.gestalten.com/space,"Sophienstraße 21, 10178 Berlin",52.525707,13.400763
do you read me?!,empty,http://www.doyoureadme.de/,"Auguststraße 28, 10117 Berlin",52.52719,13.397838
Frau Tonis,empty,www.frau-tonis-parfum.com/,"Zimmer Strasse 13, 10969 Berlin",52.507552,13.387808
Tokyo Bike,empty,http://www.tokyobike.de/,"Wassertorstr.11, 10969 Berlin",52.499581,13.409547
Süper Store,empty,http://www.sueper-store.de/,"Dieffenbachstraße 12, 10967 Berlin Kreuzberg",52.492981,13.414968
Sofortbild,empty,http://www.sofortbild-shop.de/,"Brunnenstr. 195, 10119 Berlin",52.530366,13.40071
