categoryName,categoryDescription,,,,
Sweets,Ut tincidunt varius hendrerit,,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
Hudson's,empty,http://www.hudsonscakes.com/,"Boppstrasse 1, 10967 Berlin Kreuzberg",52.491107,13.420886
Salon Sucre,empty,http://salonsucre.de/,"Görlitzerstrasse 32A, 10997 Berlin Kreuzberg",52.495168,13.444768
Du Bonheur,empty,-,"Brunnenstr. 39, 10115 Berlin Mitte",52.536225,13.397606
Koriat,empty,http://www.koriat.de/,"Pannierstraße 29, 12047 Berlin",52.490704,13.434705
Efa's,empty,http://www.efas.de/,"Weinbergsweg 24, 10119 Berlin Mitte",52.5307,13.402021
Kadó,empty,http://www.kado.de/,"Graefestrasse 20, Kreuzberg 10967",52.492624,13.417447
Herr Nilsson,empty,http://www.herrnilsson.com/,"Wühlischstrasse 58, 10245 Berlin",52.507032,13.468254
Anna Durkes,empty,http://www.annadurkes.com/,"Graefestrasse 80, 10967 Berlin",52.493361,13.41806
Yoli Frozen Yogurt,empty,http://www.yoli-berlin.de/,"Invalidenstrasse 112, 10115 Berlin",52.530644,13.383374
Vanille-Marille,empty,http://www.vanille-marille.de/index.php,"Hagelberger Str. 1, 10965 Berlin",52.491349,13.386462
Fräulein Frost,empty,-,"Friedelstraße 39, 12047 Berlin",52.492068,13.427935
Bonbonmacherei,empty,http://www.bonbonmacherei.de,"Oranienburger Strasse 32, 10117 Berlin",52.524823,13.393561
Gemelli,empty,http://www.gemelli-berlin.de/,"Wrangelstrasse 42, 10997 Berlin",52.499779,13.439006
Cupcake,empty,http://www.cupcakeberlin.de/index1.html,"Krossener Strasse 12, 10245 Berlin",52.510678,13.457702
Wonder Waffel,empty,http://www.wonderwaffel.de/,"Adalbertstraße 88, 10997 Berlin",52.501704,13.419577
