categoryName,categoryDescription,,,,
Dinner,Cras blandit ac metus quis venenatis,,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
Cookies Cream,empty,http://www.cookiescream.com/,"Behrenstraße 55, 10117 Berlin",52.515452,13.385893
Pauly Saal,empty,http://paulysaal.com/,"Auguststraße 11, 10117 Berlin Mitte",52.526543,13.39431
Katz Orange,empty,http://www.katzorange.com/en/,"Bergstraße 22, 10115 Berlin Mitte",52.531473,13.394447
3 Schwestern,empty,http://3schwestern-berlin.de/,"Mariannenplatz 2, 10997 Berlin Kreuzberg",52.502903,13.424145
Lavanderia Vecchia,empty,http://www.lavanderiavecchia.de/,"Flughafenstraße 46, 12053 Berlin Neukölln",52.481026,13.426683
Cocoro,empty,-,"Mehringdamm 64, 10963 Berlin Schöneberg",52.493835,13.38362
La Soupe Populaire,empty,http://lasoupepopulaire.de/,"Atelierhaus, 10405 Berlin",52.540835,13.425755
Pantry,empty,http://www.pantry-berlin.com/,"Friedrichstr. 120, 10117 Berlin",52.526662,13.387082
Sauvage,empty,http://www.sauvageberlin.com/,"Pflügerstrasse 25, 12047 Berlin",52.489994,13.43354
Bar Raval,empty,http://www.barraval.de/,"Lübbener Straße 1, 10997 Berlin",52.498245,13.436331
Schneeweiss,empty,http://www.schneeweiss-berlin.de,"Simplonstraße 16, 10245 Berlin",52.508653,13.458456
Das Lokal,empty,http://www.lokal-berlin.blogspot.de/,"Linienstraße 160, 10115 Berlin Mitte ",52.527941,13.394604
Alpenstueck,empty,http://www.­alpenstueck.­de/,"Gartenstrasse 9, 10115 Berlin Mitte",52.530163,13.391783
A Magica,empty,http://www.amagica.de/,Greifenhagener Str. 54 10437 Berlin,52.547778,13.415471
Monsieur Vuong,empty,http://www.monsieurvuong.de/,"Alte Schönhauser Str. 46, 10119 Berlin Mitte",52.526678,13.407776
Ristorante Caffe Bocconi,empty,http://www.webadresse.de/restaurant-berlin-ristorante-caffe-bocconi,"Schluterstrasse 74, 10625 Berlin",52.508719,13.317945
