categoryName,categoryDescription,,,,
Fashion,"Praesent lobortis metus eu nunc
",,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
Das Neue Schwarz,empty,http://www.dasneueschwarz.de/,"Mulackstrasse 38, 10119 Berlin",52.527108,13.407258
Civilist,empty,http://www.civilistberlin.com/,"Brunnenstrasse 13, 10119 Berlin",52.531616,13.39969
Don’t Shoot The Messengers,empty,http://dont-shoot-the-messengers.com/,"Zehdenickerstraße 25, 10119 Berlin",52.530311,13.40634
XVII Store,empty,http://delivery.XVII-store.com,"Steinstrasse 17, 10119 Berlin",52.527045,13.404824
Temporary Showroom,empty,http://www.temporaryshowroom.com,"Kastanienallee 36a, 10435 Berlin",52.536118,13.407112
Konzept86,empty,http://fiermanagement.com/,"Skalitzer Straße 86, 10997 Berlin",52.500083,13.436102
Andreas Murkudis,empty,http://www.andreasmurkudis.com/,"Potsdamer Strasse 81E, 10785 Berlin",52.502187,13.364917
Oukan,empty,http://www.oukan71.com/,"Kronenstraße 71, 10117 Berlin",52.511107,13.38775
Yuu Shop,empty,http://www.yuu-shop.de/,"Steinstraße 26, 10119 Berlin",52.527023,13.40483
"No. 74

",empty,http://no74-berlin.com,"Torstrasse 74, 10119 Berlin",52.529112,13.407282
Sing Blackbird,empty,http://www.singblackbird.com,"Sanderstraße 11, 12047 Berlin",52.492449,13.426095
Darklands,empty,http://www.darklandsberlin.com/,"Heidestrasse 46-52, 10557 Berlin",52.532009,13.366768
Baerck,empty,http://www.baerck.net/,"Mulackstraße 12, 10119 Berlin",52.527482,13.405326
SOTO,empty,http://www.sotostore.com,"Torstrasse 72, 10119 Berlin",52.529082,13.407449
BUTTERFLYSOULFIRE Boutique,empty,http://www.butterflysoulfire.com,"Mulackstraße 11, 10119 Berlin",52.52745,13.405514
LaLa Berlin,empty,http://www.lalaberlin.com,"Mulackstraße 7, 10119 Berlin",52.527318,13.406266
Voo,empty,http://www.vooberlin.com/,"Oranienstraße 24, 10999 Berlin Kreuzberg",52.500838,13.420923
konk,empty,http://www.konk-berlin.de/,"Kleine Hamburger Straße 15, 10117 Berlin Mitte",52.51778,13.38877
Happy Shop,empty,http://happyshop-berlin.com/,"Torstraße 67, 10119 Berlin Mitte",52.529226,13.407588
Starstyling,empty,http://www.starstyling.net/,"Mulackstraße 4, 10119 Berlin Mitte",52.527143,13.407177
Schwarzhogerzeil II,empty,http://schwarzhogerzeil.de/,"Mulackstraße 23, 10119 Berlin Mittte",52.527671,13.404105
