categoryName,categoryDescription,,,,
Nightlife,"Etiam odio sapien, ornare sit amet hendrerit",,,,
,,,,,
placeName,placeDescription,placeUrl,placeAddress,lat,long
Melody Nelson Bar,empty,-,"Novalis Strasse 2, 10115 Berlin",52.528029,13.388883
Lugosi Bar,empty,http://lugosi-berlin.de/,"Reichenberger Str 152, 10999 Berlin",52.497354,13.424184
Loophole,empty,http://www.loophole-berlin.com/,"Boddinstrasse 60, 12053 Berlin",52.480797,13.432936
NEU! Bar,empty,http://www.myspace.com/neubar,"Greifswalderstr. 218, 10405 Berlin",52.531001,13.426759
Wendel,empty,http://www.nstp.de,"Schlesische Straße 42, 10997 Berlin",52.500346,13.443417
Berghain,empty,http://www.berghain.de,"Am Wriezener Bahnhof, 10243 Berlin",52.509475,13.44118
Kirk,empty,http://www.kirkbar-berlin.de,"Skalitzer Straße 75, 10997 Berlin",52.500687,13.440251
White Trash Fast Food,empty,http://www.whitetrashfastfood.com/,"Schönhauser Allee 6-7, 10119 Berlin",52.529592,13.41012
Beckett's Kopf,empty,http://www.becketts-kopf.de,"Pappelallee 64, 10437 Berlin",52.545568,13.417222
